FlexibleWorking,Flexible working,Work Support,Working Arrangements
Sickness,Sick,Ill,Unwell,Poorly
UnusedLeave,Leave,Holidays,Vacations,Annual leave,Time-off,Breaks
WorkingHours,Working hours,Office hours,Business hours,Hours of work
